"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
738,"BIOL",29.34,,-70.30%,,-112.90%,1.10,0.50,2.38,12.77,36.50%,-65.20%,-74.50%,8/13/2020 4:30:00 PM,0.31,-2.75%,1141461
739,"BIOX",206.23,,-7.60%,-45.70%,16.60%,0.90,0.70,0.87,2.40,44.70%,12.50%,-10.90%,9/10/2020 8:30:00 AM,5.64,-0.96%,33629
740,"BIP",19451.36,4.10%,-0.10%,-0.50%,5.00%,0.90,0.90,3.66,3.93,45.60%,23.30%,-0.40%,8/5/2020 8:30:00 AM,47.51,0.40%,259056
741,"BIPC",2496.13,3.52%,,,14.80%,,,,,84.50%,,,,55.90,1.47%,167474
742,"BIS",,2.11%,,,,,,,,,,,,31.18,1.07%,54795
743,"BIT",602.10,9.23%,,,,,,,,,,,,16.04,0.00%,80769
744,"BITA",1119.67,,-4.90%,-13.90%,-3.40%,1.40,1.40,0.09,0.84,62.50%,-35.60%,-25.60%,8/24/2020 8:30:00 AM,15.77,0.00%,1028276
745,"BIV",,2.51%,,,,,,,,,,,,93.67,0.00%,825819
746,"BIZD",,12.14%,,,,,,,,,,,,12.26,-0.81%,59631
747,"BJ",5513.35,,5.60%,,18.00%,0.80,0.20,10.09,10.09,18.90%,3.40%,2.10%,8/20/2020 8:30:00 AM,39.00,0.57%,2206383
748,"BJAN",,,,,,,,,,,,,,30.24,-0.33%,22286
749,"BJK",,3.57%,,,,,,,,,,,,40.03,-0.05%,19347
750,"BJRI",850.46,,-1.40%,-5.20%,11.10%,0.70,0.70,0.53,0.53,36.20%,-3.60%,-1.60%,7/23/2020 4:30:00 PM,34.47,-4.75%,497755
751,"BJUL",,,,,,,,,,,,,,28.30,-0.43%,31
752,"BJUN",,,,,,,,,,,,,,29.54,0.00%,0
753,"BK",31133.71,3.49%,1.00%,11.10%,3.20%,,,0.75,0.75,,46.20%,68.40%,7/15/2020 8:30:00 AM,35.56,-0.03%,2461745
754,"BKCC",184.55,15.21%,,,,,,,,,,,7/29/2020 4:30:00 PM,2.58,-1.90%,418334
755,"BKD",516.67,,1.10%,9.40%,-0.90%,0.90,0.90,4.47,4.76,22.50%,-2.40%,2.10%,8/10/2020 4:30:00 PM,2.76,-2.47%,1244783
756,"BKE",1071.50,,11.20%,24.00%,25.20%,2.40,1.70,0.00,0.00,41.40%,14.80%,11.60%,8/21/2020 8:30:00 AM,21.71,-1.00%,239466
757,"BKEP",62.91,10.61%,-4.20%,-3.60%,5.60%,0.70,0.70,0.78,0.00,47.00%,8.20%,-4.00%,8/5/2020 4:30:00 PM,1.50,-0.55%,55551
758,"BKF",,1.54%,,,,,,,,,,,,47.13,-0.42%,11391
759,"BKH",3454.71,3.89%,2.60%,8.00%,6.10%,1.10,0.80,1.41,1.41,,23.10%,11.70%,8/3/2020 4:30:00 PM,55.46,0.93%,310314
760,"BKI",13484.97,,3.40%,6.90%,7.20%,1.80,1.80,0.45,0.49,,24.70%,11.80%,8/10/2020 8:30:00 AM,85.68,-0.61%,480852
761,"BKK",303.45,0.80%,,,,,,,,,,,,15.02,0.20%,18131
762,"BKLC",,,,,,,,,,,,,,63.85,-1.17%,7123
763,"BKLN",,4.62%,,,,,,,,,,,,22.04,-0.09%,6062625
764,"BKMC",,,,,,,,,,,,,,65.74,-0.62%,110
765,"BKN",280.65,4.65%,,,,,,,,,,,,16.34,0.06%,17815
766,"BKNG",75337.72,,12.50%,51.60%,29.10%,2.90,2.90,2.66,2.90,,23.40%,22.50%,8/6/2020 4:30:00 PM,1787.21,-1.08%,466817
767,"BKR",15427.73,4.80%,-22.80%,-39.60%,1.40%,1.50,1.00,0.39,0.44,17.10%,-69.20%,-46.00%,7/22/2020 8:30:00 AM,15.19,1.20%,5587595
768,"BKSC",92.28,3.89%,1.60%,,30.70%,,,,,,94.70%,38.70%,,16.43,-0.12%,7544
769,"BKSE",,,,,,,,,,,,,,66.43,-0.75%,85
770,"BKT",391.71,6.68%,,,,,,,,,,,,6.17,0.49%,348310
771,"BKTI",38.96,2.52%,-6.90%,-11.30%,-14.30%,2.70,1.50,0.01,0.02,39.40%,-7.40%,-6.40%,,3.17,-0.31%,2967
772,"BKU",2095.93,3.95%,0.60%,7.20%,19.10%,,,0.50,0.50,,62.00%,16.90%,7/29/2020 8:30:00 AM,23.30,0.13%,533193
773,"BKYI",31.48,,-297.80%,,,0.50,0.40,0.00,3.50,20.20%,,,8/14/2020 8:30:00 AM,0.49,-2.22%,695855
